  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  1.048575000000000104E-04  1.000000000000000222E+00  0.000000000000000000E+00 -1.084202172485504434E-19  0.000000000000000000E+00  9.942568941457474718E-01  2.888461259827270616E-02  9.653722815474746755E-01
  1.919623785903328060E-04  9.999999999999998890E-01 -8.673617379884035472E-19 -2.168404344971008868E-19  0.000000000000000000E+00  9.942568941457476939E-01  6.464433880661782372E-02  9.296125553391297869E-01
  2.686439548541490869E-04  1.000000000000000000E+00 -8.673617379884035472E-19 -1.301042606982605321E-18  0.000000000000000000E+00  9.942568941457478049E-01  9.718780272342099347E-02  8.970690914223267143E-01
  3.395466152567857632E-04  1.000000000000000222E+00  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  9.942568941457475828E-01  1.215076614696664337E-01  8.727492326760812880E-01
  4.089790723037969714E-04  1.000000000000000000E+00 -8.673617379884035472E-19  4.336808689942017736E-19  0.000000000000000000E+00  9.942568941457479159E-01  1.422544527701689043E-01  8.520024413755787895E-01
  4.785263058128370276E-04  9.999999999999997780E-01  1.734723475976807094E-18  4.336808689942017736E-19  0.000000000000000000E+00  9.942568941457480269E-01  1.570625662331124328E-01  8.371943279126353721E-01
  5.487974869496639249E-04  1.000000000000000444E+00 -1.734723475976807094E-18  1.734723475976807094E-18  0.000000000000000000E+00  9.942568941457480269E-01  1.683360700124471587E-01  8.259208241333008127E-01
  6.204105383267895625E-04  1.000000000000000222E+00  1.734723475976807094E-18  4.336808689942017736E-18  0.000000000000000000E+00  9.942568941457482490E-01  1.726426151412604748E-01  8.216142790044875799E-01
  6.936086331406720153E-04  1.000000000000000222E+00  2.602085213965210642E-18  6.071532165918824830E-18  0.000000000000000000E+00  9.942568941457481380E-01  1.754462784642317197E-01  8.188106156815164738E-01
  7.699764664855874782E-04  1.000000000000000000E+00  2.602085213965210642E-18 -1.734723475976807094E-18  0.000000000000000000E+00  9.942568941457408105E-01  1.761415854669997894E-01  8.181153086787413820E-01
  8.518319988870791133E-04  1.000000000000000222E+00  0.000000000000000000E+00 -8.673617379884035472E-19  0.000000000000000000E+00  9.942568941457408105E-01  1.750955051314305733E-01  8.191613890143105703E-01
  9.409112311745200692E-04  9.999999999999998890E-01  1.734723475976807094E-18  1.734723475976807094E-18  0.000000000000000000E+00  9.942568941457414766E-01  1.768098186942184957E-01  8.174470754515228421E-01
  1.034685269785900899E-03  1.000000000000000222E+00  3.469446951953614189E-18 -1.734723475976807094E-18  0.000000000000000000E+00  9.942568941457411436E-01  1.763718383743707874E-01  8.178850557713703839E-01
  1.132412113402002807E-03  1.000000000000000222E+00  1.734723475976807094E-18  3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457412546E-01  1.785823850358083664E-01  8.156745091099331102E-01
  1.234949759886169555E-03  1.000000000000000222E+00 -1.734723475976807094E-18 -8.673617379884035472E-19  0.000000000000000000E+00  9.942568941457416987E-01  1.811683181325109138E-01  8.130885760132305906E-01
  1.342530625566426983E-03  9.999999999999998890E-01  5.204170427930421283E-18  9.540979117872439019E-18  0.000000000000000000E+00  9.942568941457414766E-01  1.833833019367590578E-01  8.108735922089829185E-01
  1.456432143805915002E-03  1.000000000000000222E+00  5.204170427930421283E-18  5.204170427930421283E-18  0.000000000000000000E+00  9.942568941457414766E-01  1.865084617591155625E-01  8.077484323866259697E-01
  1.558190601239549779E-03  1.000000000000000222E+00  8.673617379884035472E-19 -8.673617379884035472E-19  0.000000000000000000E+00  9.942568941457414766E-01  1.865109846213607314E-01  8.077459095243809672E-01
  1.661458368835368920E-03  1.000000000000000000E+00 -2.602085213965210642E-18 -5.204170427930421283E-18  0.000000000000000000E+00  9.942568941457421428E-01  1.860119190618833851E-01  8.082449750838585079E-01
  1.771941533026695449E-03  1.000000000000000222E+00  0.000000000000000000E+00 -6.938893903907228378E-18  0.000000000000000000E+00  9.942568941457424758E-01  1.858273534571368568E-01  8.084295406886053970E-01
  1.890333965628974685E-03  1.000000000000000222E+00 -2.602085213965210642E-18 -6.938893903907228378E-18  0.000000000000000000E+00  9.942568941457426979E-01  1.848466913249430799E-01  8.094102028207992294E-01
  2.016495009079113856E-03  1.000000000000000000E+00  8.673617379884035472E-19  1.301042606982605321E-17  0.000000000000000000E+00  9.942568941457431420E-01  1.848877151175565836E-01  8.093691790281858367E-01
  2.143257618982226127E-03  1.000000000000000000E+00 -6.938893903907228378E-18 -5.204170427930421283E-18  0.000000000000000000E+00  9.942568941457428089E-01  1.849920054015318782E-01  8.092648887442108752E-01
  2.268523172599777506E-03  1.000000000000000000E+00  1.734723475976807094E-18 -3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457429199E-01  1.845015056120974106E-01  8.097553885336453705E-01
  2.387555654243800167E-03  1.000000000000000000E+00  1.734723475976807094E-18  2.109982863519564481-251  0.000000000000000000E+00  9.942568941457432530E-01  1.847651032368347879E-01  8.094917909089081043E-01
  2.502789992807822120E-03  1.000000000000000222E+00  1.734723475976807094E-17  2.255140518769849223E-17  0.000000000000000000E+00  9.942568941457436971E-01  1.848364234452688215E-01  8.094204707004744037E-01
  2.616743014843736417E-03  1.000000000000000222E+00 -3.469446951953614189E-18  1.561251128379126385E-17  0.000000000000000000E+00  9.942568941457439191E-01  1.845441444642874074E-01  8.097127496814560121E-01
  2.729203080479485413E-03  1.000000000000000000E+00 -6.938893903907228378E-18 -5.204170427930421283E-18  0.000000000000000000E+00  9.942568941457443632E-01  1.852166931804616334E-01  8.090402009652819526E-01
  2.841165664812936135E-03  1.000000000000000000E+00  3.469446951953614189E-18  8.673617379884035472E-18  0.000000000000000000E+00  9.942568941457435860E-01  1.852269664832850438E-01  8.090299276624584035E-01
  2.954402427404500316E-03  1.000000000000000222E+00  5.204170427930421283E-18  3.469446951953614189E-18  0.000000000000000000E+00  9.942568941457408105E-01  1.854468969748319929E-01  8.088099971709089564E-01
  3.070562517761283704E-03  1.000000000000000222E+00 -1.908195823574487804E-17 -5.204170427930421283E-18  0.000000000000000000E+00  9.942568941457411436E-01  1.857829219810434029E-01  8.084739721646975186E-01
