  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  8.346984628978932307E-04  7.972593737406206138E-01                       NaN                       NaN                       NaN                       NaN                       NaN  8.634980123443533606E-03
  8.347016628978932377E-04  7.826659395403778863E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.818018752353918244E-03
  8.347080628978932517E-04  7.676862350982642802E-01                       NaN                       NaN                       NaN                       NaN                       NaN  7.108785092255233244E-03
  8.347208628978932798E-04  7.536686208294229861E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.770647304105051334E-03
  8.347464628978932275E-04  7.395857802049669028E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.509970629283134622E-03
  8.347976628978932313E-04  7.252662688193070029E-01                       NaN                       NaN                       NaN                       NaN                       NaN  6.243151832306841238E-03
  8.349000628978932390E-04  7.109811907127836506E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.995571778122257486E-03
  8.351048628978932544E-04  6.967203481232613349E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.679636979815039927E-03
  8.355144628978932852E-04  6.822640408085760555E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.397044827632115765E-03
  8.363336628978932383E-04  6.675509958765636354E-01                       NaN                       NaN                       NaN                       NaN                       NaN  5.127215818620991378E-03
  8.379720628978932530E-04  6.526196244263311463E-01                       NaN                       NaN                       NaN                       NaN                       NaN  4.790110603407581047E-03
  8.412488628978932823E-04  6.374230701614609362E-01                       NaN                       NaN                       NaN                       NaN                       NaN  4.536498007922017996E-03
  8.478024628978932326E-04  6.219949563959971117E-01                       NaN                       NaN                       NaN                       NaN                       NaN  4.302131890262067895E-03
  8.609096628978932415E-04  6.062958918259990782E-01                       NaN                       NaN                       NaN                       NaN                       NaN  4.057408690046187053E-03
  8.871240628978932594E-04  5.903668740801306658E-01                       NaN                       NaN                       NaN                       NaN                       NaN  3.745497595906868531E-03
  9.395528628978932952E-04  5.741943067530423939E-01                       NaN                       NaN                       NaN                       NaN                       NaN  3.527308511818321932E-03
